Code,Item,Group,Region_Number,Region_Name,State_Name,Average_Annual_Percent_Growth,Year,Value
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1991,88921
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1992,103417
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1993,116453
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1994,126856
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1995,136250
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1996,144510
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1997,151352
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1998,158316
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,1999,171281
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2000,186943
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2001,208435
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2002,230096
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2003,249447
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2004,270746
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2005,287581
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2006,283315
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2007,301114
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2008,317890
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2009,346347
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2010,365707
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2011,373684
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2012,388256
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2013,405666
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2014,446921
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2015,484506
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2016,503382
1,Medicaid/Personal Health Care (Millions of Dollars),United States,0,United States,,6.7,2017,516067
