Code,Item,Group,Region_Number,REGION_NAME,State_Name,Average_Annual_Percent_Growth,Year,Value
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1991,25939
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1992,28465
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1993,30528
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1994,31667
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1995,32338
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1996,32182
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1997,31850
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1998,31390
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,1999,32152
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2000,34149
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2001,36770
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2002,40384
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2003,42955
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2004,44532
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2005,45816
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2006,45557
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2007,45608
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2008,47242
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2009,50913
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2010,53961
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2011,56229
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2012,58105
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2013,59078
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2014,66762
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2015,71489
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2016,73452
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2017,73968
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2018,73396
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2019,72286
11,Medicaid Enrollee Population (Thousands),United States,0,United States,,3.8,2020,75960
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1991,1425
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1992,1209
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1993,1264
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1994,1249
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1995,1293
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1996,1303
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1997,1333
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1998,1411
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,1999,1449
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2000,1487
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2001,1589
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2002,1761
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2003,1684
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2004,1734
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2005,1777
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2006,1803
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2007,1856
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2008,2050
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2009,2194
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2010,2365
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2011,2606
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2012,2778
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2013,2852
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2014,3312
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2015,3417
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2016,3565
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2017,3579
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2018,3578
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2019,3520
11,Medicaid Enrollee Population (Thousands),Region,1,New England,,3.3,2020,3640
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1991,4561
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1992,4903
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1993,5210
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1994,5456
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1995,5588
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1996,5684
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1997,5820
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1998,5443
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,1999,5630
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2000,5556
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2001,5717
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2002,6370
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2003,6808
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2004,7161
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2005,7565
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2006,7566
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2007,7509
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2008,7741
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2009,8351
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2010,8893
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2011,9316
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2012,9537
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2013,9799
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2014,10715
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2015,11957
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2016,12327
11,Medicaid Enrollee Population (Thousands),Region,2,Mideast,,3.7,2017,12519
