Code,Item,Group,Region_Number,REGION_NAME,State_Name,Average_Annual_Percent_Growth,Year,Value
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1991,3428
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1992,3633
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1993,3815
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1994,4006
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1995,4213
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1996,4490
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1997,4752
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1998,5044
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,1999,5327
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2000,5474
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2001,5669
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2002,5698
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2003,5807
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2004,6080
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2005,6277
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2006,6219
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2007,6602
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2008,6729
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2009,6803
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2010,6777
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2011,6646
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2012,6682
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2013,6867
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2014,6694
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2015,6777
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2016,6853
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2017,6977
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2018,7245
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2019,7649
1,Medicaid/Personal Health Care ($),United States,0,United States,,2.8,2020,7727
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1991,4685
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1992,6134
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1993,6146
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1994,7123
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1995,7672
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1996,7592
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1997,8279
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1998,8354
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,1999,8640
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2000,8875
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2001,9021
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2002,9043
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2003,9634
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2004,10273
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2005,10632
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2006,10297
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2007,10653
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2008,10292
1,Medicaid/Personal Health Care ($),Region,1,New England,,2.4,2009,10616
