Code,Item,Group,Region_Number,Region_Name,State_Name,Average_Annual_Percent_Growth,Year,Value
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1991,117123
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1992,132191
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1993,145978
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1994,163101
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1995,179427
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1996,193018
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1997,203362
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1998,201562
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,1999,206035
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2000,216333
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2001,239111
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2002,256551
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2003,274001
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2004,300096
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2005,326278
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2006,382298
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2007,408709
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2008,442013
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2009,470087
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2010,488820
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2011,511849
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2012,533641
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2013,553568
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2014,579475
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2015,606249
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2016,628875
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2017,658998
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2018,696557
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2019,744924
1,Medicare/Personal Health Care (Millions of Dollars),United States,0,United States,,6.6,2020,754521
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1991,6788
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1992,7712
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1993,8617
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1994,9517
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1995,10565
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1996,11433
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1997,11831
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1998,11515
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,1999,11683
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,2000,12284
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,2001,13489
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,2002,14221
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,2003,15081
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,2004,16432
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,2005,17443
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,2006,20348
1,Medicare/Personal Health Care (Millions of Dollars),Region,1,New England,,6,2007,21772
