Code,Item,Group,Region_Number,REGION_NAME,State_Name,Average_Annual_Percent_Growth,Year,Value
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1991,34139
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1992,34822
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1993,35532
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1994,36156
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1995,36739
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1996,37252
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1997,37617
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1998,37983
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,1999,38278
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2000,38749
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2001,39136
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2002,39582
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2003,40160
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2004,40784
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2005,41536
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2006,42356
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2007,43259
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2008,44385
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2009,45467
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2010,46585
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2011,47741
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2012,49682
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2013,51274
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2014,52846
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2015,54286
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2016,55758
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2017,57159
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2018,58678
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2019,60211
11,Medicare Enrollee Population (Thousands),United States,0,United States,,2,2020,61490
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1991,1918
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1992,1953
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1993,1988
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1994,2018
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1995,2044
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1996,2067
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1997,2079
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1998,2093
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,1999,2101
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2000,2120
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2001,2127
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2002,2140
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2003,2155
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2004,2171
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2005,2192
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2006,2223
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2007,2261
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2008,2315
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2009,2362
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2010,2411
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2011,2461
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2012,2555
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2013,2626
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2014,2694
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2015,2753
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2016,2817
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2017,2881
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2018,2951
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2019,3016
11,Medicare Enrollee Population (Thousands),Region,1,New England,,1.6,2020,3073
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1991,6345
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1992,6433
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1993,6520
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1994,6587
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1995,6650
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1996,6695
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1997,6720
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1998,6756
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,1999,6773
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2000,6825
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2001,6853
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2002,6893
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2003,6932
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2004,6975
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2005,7031
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2006,7116
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2007,7215
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2008,7356
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2009,7479
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2010,7611
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2011,7746
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2012,8009
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2013,8207
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2014,8395
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2015,8558
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2016,8749
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2017,8923
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2018,9120
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2019,9311
11,Medicare Enrollee Population (Thousands),Region,2,Mideast,,1.4,2020,9443
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1991,5879
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1992,5976
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1993,6071
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1994,6146
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1995,6215
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1996,6261
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1997,6281
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1998,6310
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,1999,6320
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2000,6364
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2001,6392
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2002,6434
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2003,6504
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2004,6576
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2005,6659
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2006,6764
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2007,6882
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2008,7033
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2009,7168
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2010,7308
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2011,7453
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2012,7723
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2013,7930
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2014,8134
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2015,8311
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2016,8507
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2017,8688
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2018,8880
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2019,9067
11,Medicare Enrollee Population (Thousands),Region,3,Great Lakes,,1.6,2020,9224
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1991,2669
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1992,2705
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1993,2738
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1994,2765
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1995,2790
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1996,2808
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1997,2819
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1998,2832
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,1999,2839
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,2000,2857
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,2001,2872
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,2002,2891
11,Medicare Enrollee Population (Thousands),Region,4,Plains,,1.5,2003,2918
