Code,Item,Group,Region_Number,Region_Name,State_Name,Average_Annual_Percent_Growth,Year,Value
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1991,3431
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1992,3796
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1993,4108
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1994,4511
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1995,4884
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1996,5181
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1997,5406
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1998,5307
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,1999,5383
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2000,5583
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2001,6110
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2002,6481
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2003,6823
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2004,7358
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2005,7855
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2006,9026
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2007,9448
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2008,9959
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2009,10339
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2010,10493
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2011,10721
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2012,10741
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2013,10796
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2014,10965
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2015,11168
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2016,11279
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2017,11529
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2018,11871
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2019,12372
1,Medicare/Personal Health Care ($),United States,0,United States,,4.5,2020,12271
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1991,3539
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1992,3949
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1993,4334
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1994,4717
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1995,5170
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1996,5531
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1997,5690
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1998,5502
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,1999,5562
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2000,5794
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2001,6340
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2002,6647
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2003,6997
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2004,7568
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2005,7959
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2006,9154
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2007,9628
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2008,10048
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2009,10439
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2010,10558
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2011,10779
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2012,10799
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2013,10884
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2014,11167
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2015,11398
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2016,11521
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2017,11699
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2018,11991
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2019,12419
1,Medicare/Personal Health Care ($),Region,1,New England,,4.3,2020,12011
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1991,3937
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1992,4198
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1993,4580
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1994,4918
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1995,5271
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1996,5569
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1997,5858
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1998,5924
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,1999,6081
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2000,6350
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2001,6922
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2002,7284
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2003,7527
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2004,7989
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2005,8569
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2006,9812
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2007,10377
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2008,10913
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2009,11271
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2010,11403
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2011,11692
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2012,11625
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2013,11694
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2014,11910
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2015,12100
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2016,12177
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2017,12377
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2018,12691
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2019,13138
1,Medicare/Personal Health Care ($),Region,2,Mideast,,4.2,2020,12876
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1991,3244
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1992,3614
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1993,3854
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1994,4244
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1995,4606
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1996,4866
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1997,5082
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1998,5041
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,1999,5083
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,2000,5313
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,2001,5916
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,2002,6268
1,Medicare/Personal Health Care ($),Region,3,Great Lakes,,4.6,2003,6647
