Code,Item,Group,Region_Number,Region_Name,State_Name,Average_Annual_Percent_Growth,Year,Value
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2001,432720
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2002,472439
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2003,511490
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2004,545344
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2005,586884
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2006,618278
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2007,655932
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2008,679306
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2009,708960
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2010,725102
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2011,752264
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2012,778419
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2013,779383
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2014,814484
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2015,869085
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2016,917697
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2017,956734
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2018,990865
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2019,1036072
1,Private Health Insurance/Personal Health Care (Millions of Dollars),United States,0,United States,,4.5,2020,1000234
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2001,26355
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2002,28062
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2003,29538
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2004,32385
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2005,34357
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2006,35789
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2007,38188
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2008,41308
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2009,43274
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2010,44892
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2011,46549
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2012,47558
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2013,46323
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2014,46661
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2015,49087
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2016,50658
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2017,54566
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2018,55427
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2019,55658
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,1,New England,,3.7,2020,52208
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2001,80022
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2002,84868
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2003,91379
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2004,97355
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2005,104331
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2006,110767
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2007,116608
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2008,120137
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2009,127926
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2010,130301
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2011,137730
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2012,141211
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2013,142753
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2014,144463
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2015,154350
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2016,158381
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2017,168020
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2018,175272
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2019,180603
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,2,Mideast,,4.2,2020,174057
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2001,78756
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2002,87743
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2003,94189
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2004,97625
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2005,104203
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2006,110836
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2007,116234
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2008,117653
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2009,119081
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2010,120541
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2011,120244
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2012,122650
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2013,122479
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2014,127004
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2015,132666
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2016,140543
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2017,146193
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2018,149010
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2019,153065
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,3.2,2020,143966
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2001,30744
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2002,34344
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2003,36582
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2004,40068
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2005,41035
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2006,44450
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2007,46443
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2008,47877
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2009,49757
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2010,50088
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2011,53455
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2012,56010
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2013,54834
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2014,56669
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2015,59682
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2016,61041
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2017,65538
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2018,67548
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2019,70132
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,4,Plains,,4.2,2020,67405
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2001,98443
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2002,106706
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2003,115892
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2004,124303
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2005,131575
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2006,138106
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2007,148066
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2008,154436
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2009,159603
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2010,163135
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2011,167376
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2012,175060
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2013,175352
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2014,186247
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2015,202279
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2016,212822
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2017,220441
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2018,232515
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2019,248548
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,5,Southeast,,4.8,2020,241817
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2001,40175
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2002,44010
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2003,48409
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2004,51977
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2005,59327
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2006,60491
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2007,63550
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2008,65360
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2009,71537
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2010,74685
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2011,75471
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2012,81146
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2013,82646
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2014,88786
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2015,93797
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2016,101517
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2017,103818
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2018,109238
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2019,116583
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,6,Southwest,,5.4,2020,109624
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2001,13548
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2002,14842
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2003,15850
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2004,17106
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2005,19641
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2006,20491
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2007,22088
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2008,23116
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2009,23962
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2010,23534
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2011,25320
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2012,26396
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2013,27547
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2014,29265
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2015,30533
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2016,33690
1,Private Health Insurance/Personal Health Care (Millions of Dollars),Region,7,Rocky Mountains,,5.1,2017,35035
