Code,Item,Group,Region_Number,REGION_NAME,State_Name,Average_Annual_Percent_Growth,Year,Value
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2001,198887
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2002,199231
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2003,197216
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2004,196220
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2005,196860
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2006,197844
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2007,198052
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2008,196497
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2009,190924
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2010,188337
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2011,187791
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2012,190899
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2013,190964
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2014,194711
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2015,200283
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2016,201726
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2017,202074
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2018,200553
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2019,201998
11,Private Health Insurance Enrollee Population (Thousands),United States,0,United States,,0,2020,200287
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2001,10469
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2002,10482
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2003,10384
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2004,10270
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2005,10351
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2006,10355
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2007,10394
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2008,10319
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2009,10023
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2010,9867
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2011,9797
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2012,9840
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2013,9746
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2014,9701
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2015,9856
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2016,9866
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2017,9820
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2018,9760
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2019,9750
11,Private Health Insurance Enrollee Population (Thousands),Region,1,New England,,-0.6,2020,9401
11,Private Health Insurance Enrollee Population (Thousands),Region,2,Mideast,,-0.4,2001,33645
11,Private Health Insurance Enrollee Population (Thousands),Region,2,Mideast,,-0.4,2002,33781
11,Private Health Insurance Enrollee Population (Thousands),Region,2,Mideast,,-0.4,2003,33273
11,Private Health Insurance Enrollee Population (Thousands),Region,2,Mideast,,-0.4,2004,33411
