Code,Item,Group,Region_Number,REGION_NAME,State_Name,Average_Annual_Percent_Growth,Year,Value
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2001,2176
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2002,2371
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2003,2594
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2004,2779
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2005,2981
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2006,3125
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2007,3312
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2008,3457
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2009,3713
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2010,3850
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2011,4006
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2012,4078
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2013,4081
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2014,4183
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2015,4339
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2016,4549
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2017,4735
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2018,4941
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2019,5129
1,Private Health Insurance/Personal Health Care ($),United States,0,United States,,4.5,2020,4994
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2001,2518
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2002,2677
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2003,2845
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2004,3153
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2005,3319
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2006,3456
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2007,3674
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2008,4003
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2009,4317
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2010,4550
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2011,4751
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2012,4833
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2013,4753
1,Private Health Insurance/Personal Health Care ($),Region,1,New England,,4.3,2014,4810
