Code,Item,Group,Region_Number,Region_Name,State_Name,Average_Annual_Percent_Growth,Year,Value
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1991,672711
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1992,728437
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1993,775720
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1994,817952
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1995,866811
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1996,915029
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1997,966064
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1998,1019653
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,1999,1079208
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2000,1157014
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2001,1257063
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2002,1366087
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2003,1476505
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2004,1582999
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2005,1694411
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2006,1806963
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2007,1922157
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2008,2007967
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2009,2106233
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2010,2181261
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2011,2254675
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2012,2346962
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2013,2405667
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2014,2527325
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2015,2674089
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2016,2795322
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2017,2905160
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2018,3021796
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2019,3175230
1,Personal Health Care (Millions of Dollars),United States,0,United States,,5.7,2020,3357832
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1991,40981
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1992,43705
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1993,46452
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1994,48478
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1995,52029
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1996,54760
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1997,58092
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1998,62148
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,1999,65048
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2000,69388
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2001,75434
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2002,82193
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2003,88618
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2004,95122
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2005,101227
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2006,108472
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2007,115485
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2008,121097
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2009,127743
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2010,130858
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2011,134084
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2012,138405
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2013,141505
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2014,146939
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2015,154957
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2016,161532
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2017,166153
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2018,172783
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2019,180021
1,Personal Health Care (Millions of Dollars),Region,1,New England,,5.4,2020,188974
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1991,135126
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1992,146315
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1993,155597
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1994,164420
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1995,173157
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1996,180512
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1997,189043
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1998,197882
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,1999,210031
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2000,222895
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2001,240500
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2002,259892
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2003,281047
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2004,299190
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2005,317484
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2006,335952
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2007,354565
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2008,367107
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2009,385989
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2010,400739
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2011,414205
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2012,424773
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2013,437249
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2014,458170
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2015,481439
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2016,505965
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2017,528624
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2018,551923
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2019,578722
1,Personal Health Care (Millions of Dollars),Region,2,Mideast,,5.4,2020,613211
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1991,112461
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1992,121265
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1993,129054
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1994,135860
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1995,143812
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1996,151683
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1997,158844
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1998,165707
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,1999,174828
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2000,187589
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2001,203508
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2002,219640
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2003,235677
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2004,251683
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2005,267060
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2006,284375
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2007,300839
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2008,309471
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2009,324367
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2010,335104
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2011,343926
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2012,357464
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2013,364541
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2014,380858
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2015,396851
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2016,411931
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2017,424240
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2018,435750
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2019,457486
1,Personal Health Care (Millions of Dollars),Region,3,Great Lakes,,5.1,2020,478682
