Code,Item,Group,Region_Number,Region_Name,State_Name,Average_Annual_Percent_Growth,Year,Value
1,Personal Health Care ($),United States,0,United States,,4.7,1991,2659
1,Personal Health Care ($),United States,0,United States,,4.7,1992,2840
1,Personal Health Care ($),United States,0,United States,,4.7,1993,2984
1,Personal Health Care ($),United States,0,United States,,4.7,1994,3109
1,Personal Health Care ($),United States,0,United States,,4.7,1995,3255
1,Personal Health Care ($),United States,0,United States,,4.7,1996,3397
1,Personal Health Care ($),United States,0,United States,,4.7,1997,3543
1,Personal Health Care ($),United States,0,United States,,4.7,1998,3696
1,Personal Health Care ($),United States,0,United States,,4.7,1999,3868
1,Personal Health Care ($),United States,0,United States,,4.7,2000,4101
1,Personal Health Care ($),United States,0,United States,,4.7,2001,4411
1,Personal Health Care ($),United States,0,United States,,4.7,2002,4750
1,Personal Health Care ($),United States,0,United States,,4.7,2003,5090
1,Personal Health Care ($),United States,0,United States,,4.7,2004,5406
1,Personal Health Care ($),United States,0,United States,,4.7,2005,5734
1,Personal Health Care ($),United States,0,United States,,4.7,2006,6056
1,Personal Health Care ($),United States,0,United States,,4.7,2007,6381
1,Personal Health Care ($),United States,0,United States,,4.7,2008,6603
1,Personal Health Care ($),United States,0,United States,,4.7,2009,6866
1,Personal Health Care ($),United States,0,United States,,4.7,2010,7052
1,Personal Health Care ($),United States,0,United States,,4.7,2011,7236
1,Personal Health Care ($),United States,0,United States,,4.7,2012,7477
1,Personal Health Care ($),United States,0,United States,,4.7,2013,7611
1,Personal Health Care ($),United States,0,United States,,4.7,2014,7938
1,Personal Health Care ($),United States,0,United States,,4.7,2015,8337
1,Personal Health Care ($),United States,0,United States,,4.7,2016,8652
1,Personal Health Care ($),United States,0,United States,,4.7,2017,8936
1,Personal Health Care ($),United States,0,United States,,4.7,2018,9246
1,Personal Health Care ($),United States,0,United States,,4.7,2019,9671
1,Personal Health Care ($),United States,0,United States,,4.7,2020,10191
1,Personal Health Care ($),Region,1,New England,,5,1991,3093
1,Personal Health Care ($),Region,1,New England,,5,1992,3293
1,Personal Health Care ($),Region,1,New England,,5,1993,3484
1,Personal Health Care ($),Region,1,New England,,5,1994,3619
1,Personal Health Care ($),Region,1,New England,,5,1995,3862
1,Personal Health Care ($),Region,1,New England,,5,1996,4040
1,Personal Health Care ($),Region,1,New England,,5,1997,4258
1,Personal Health Care ($),Region,1,New England,,5,1998,4525
1,Personal Health Care ($),Region,1,New England,,5,1999,4701
1,Personal Health Care ($),Region,1,New England,,5,2000,4974
1,Personal Health Care ($),Region,1,New England,,5,2001,5372
1,Personal Health Care ($),Region,1,New England,,5,2002,5820
1,Personal Health Care ($),Region,1,New England,,5,2003,6248
1,Personal Health Care ($),Region,1,New England,,5,2004,6696
1,Personal Health Care ($),Region,1,New England,,5,2005,7120
1,Personal Health Care ($),Region,1,New England,,5,2006,7614
1,Personal Health Care ($),Region,1,New England,,5,2007,8088
1,Personal Health Care ($),Region,1,New England,,5,2008,8445
1,Personal Health Care ($),Region,1,New England,,5,2009,8869
1,Personal Health Care ($),Region,1,New England,,5,2010,9043
1,Personal Health Care ($),Region,1,New England,,5,2011,9226
1,Personal Health Care ($),Region,1,New England,,5,2012,9484
1,Personal Health Care ($),Region,1,New England,,5,2013,9660
1,Personal Health Care ($),Region,1,New England,,5,2014,9990
1,Personal Health Care ($),Region,1,New England,,5,2015,10516
1,Personal Health Care ($),Region,1,New England,,5,2016,10940
1,Personal Health Care ($),Region,1,New England,,5,2017,11221
1,Personal Health Care ($),Region,1,New England,,5,2018,11643
1,Personal Health Care ($),Region,1,New England,,5,2019,12123
1,Personal Health Care ($),Region,1,New England,,5,2020,12728
1,Personal Health Care ($),Region,2,Mideast,,5,1991,3066
1,Personal Health Care ($),Region,2,Mideast,,5,1992,3296
1,Personal Health Care ($),Region,2,Mideast,,5,1993,3480
1,Personal Health Care ($),Region,2,Mideast,,5,1994,3656
1,Personal Health Care ($),Region,2,Mideast,,5,1995,3832
1,Personal Health Care ($),Region,2,Mideast,,5,1996,3977
1,Personal Health Care ($),Region,2,Mideast,,5,1997,4148
1,Personal Health Care ($),Region,2,Mideast,,5,1998,4318
