Code,Item,Group,Region_Number,REGION_NAME,State_Name,Average_Annual_Percent_Growth,Year,Value
11,Population (Thousands),United States,0,United States,,0.9,1991,252981
11,Population (Thousands),United States,0,United States,,0.9,1992,256514
11,Population (Thousands),United States,0,United States,,0.9,1993,259919
11,Population (Thousands),United States,0,United States,,0.9,1994,263126
11,Population (Thousands),United States,0,United States,,0.9,1995,266278
11,Population (Thousands),United States,0,United States,,0.9,1996,269394
11,Population (Thousands),United States,0,United States,,0.9,1997,272647
11,Population (Thousands),United States,0,United States,,0.9,1998,275854
11,Population (Thousands),United States,0,United States,,0.9,1999,279040
11,Population (Thousands),United States,0,United States,,0.9,2000,282162
11,Population (Thousands),United States,0,United States,,0.9,2001,284969
11,Population (Thousands),United States,0,United States,,0.9,2002,287625
11,Population (Thousands),United States,0,United States,,0.9,2003,290108
11,Population (Thousands),United States,0,United States,,0.9,2004,292805
11,Population (Thousands),United States,0,United States,,0.9,2005,295517
11,Population (Thousands),United States,0,United States,,0.9,2006,298380
11,Population (Thousands),United States,0,United States,,0.9,2007,301231
11,Population (Thousands),United States,0,United States,,0.9,2008,304094
11,Population (Thousands),United States,0,United States,,0.9,2009,306772
11,Population (Thousands),United States,0,United States,,0.9,2010,309327
11,Population (Thousands),United States,0,United States,,0.9,2011,311583
11,Population (Thousands),United States,0,United States,,0.9,2012,313878
11,Population (Thousands),United States,0,United States,,0.9,2013,316060
11,Population (Thousands),United States,0,United States,,0.9,2014,318386
11,Population (Thousands),United States,0,United States,,0.9,2015,320739
11,Population (Thousands),United States,0,United States,,0.9,2016,323072
11,Population (Thousands),United States,0,United States,,0.9,2017,325122
11,Population (Thousands),United States,0,United States,,0.9,2018,326838
11,Population (Thousands),United States,0,United States,,0.9,2019,328330
11,Population (Thousands),United States,0,United States,,0.9,2020,329484
11,Population (Thousands),Region,1,New England,,0.4,1991,13248
11,Population (Thousands),Region,1,New England,,0.4,1992,13271
11,Population (Thousands),Region,1,New England,,0.4,1993,13334
11,Population (Thousands),Region,1,New England,,0.4,1994,13396
11,Population (Thousands),Region,1,New England,,0.4,1995,13473
11,Population (Thousands),Region,1,New England,,0.4,1996,13555
11,Population (Thousands),Region,1,New England,,0.4,1997,13642
11,Population (Thousands),Region,1,New England,,0.4,1998,13734
11,Population (Thousands),Region,1,New England,,0.4,1999,13838
11,Population (Thousands),Region,1,New England,,0.4,2000,13950
11,Population (Thousands),Region,1,New England,,0.4,2001,14041
